r,t,y,DiscountedTechnologyEmissionsPenalty
"Atlantis_00A","DIST_IND",2054,0
"Atlantis_00A","DIST_IND",2055,0
"Atlantis_00A","DIST_OTH",2014,0
"Atlantis_00A","DIST_OTH",2015,0
"Atlantis_00A","DIST_OTH",2016,0
"Atlantis_00A","DIST_OTH",2017,0
"Atlantis_00A","DIST_OTH",2018,0
"Atlantis_00A","DIST_OTH",2019,0
"Atlantis_00A","DIST_OTH",2020,0
"Atlantis_00A","DIST_OTH",2021,0
"Atlantis_00A","DIST_OTH",2022,0
"Atlantis_00A","DIST_OTH",2023,0
"Atlantis_00A","DIST_OTH",2024,0
"Atlantis_00A","DIST_OTH",2025,0
"Atlantis_00A","DIST_OTH",2026,0
"Atlantis_00A","DIST_OTH",2027,0
"Atlantis_00A","DIST_OTH",2028,0
"Atlantis_00A","DIST_OTH",2029,0
"Atlantis_00A","DIST_OTH",2030,0
"Atlantis_00A","DIST_OTH",2031,0
"Atlantis_00A","DIST_OTH",2032,0
"Atlantis_00A","DIST_OTH",2033,0
"Atlantis_00A","DIST_OTH",2034,0
"Atlantis_00A","DIST_OTH",2035,0
"Atlantis_00A","DIST_OTH",2036,0
"Atlantis_00A","DIST_OTH",2037,0
"Atlantis_00A","DIST_OTH",2038,0
"Atlantis_00A","DIST_OTH",2039,0
"Atlantis_00A","DIST_OTH",2040,0
"Atlantis_00A","DIST_OTH",2041,0
"Atlantis_00A","DIST_OTH",2042,0
"Atlantis_00A","DIST_OTH",2043,0
"Atlantis_00A","DIST_OTH",2044,0
"Atlantis_00A","DIST_OTH",2045,0
"Atlantis_00A","DIST_OTH",2046,0
"Atlantis_00A","DIST_OTH",2047,0
"Atlantis_00A","DIST_OTH",2048,0
"Atlantis_00A","DIST_OTH",2049,0
"Atlantis_00A","DIST_OTH",2050,0
"Atlantis_00A","DIST_OTH",2051,0
"Atlantis_00A","DIST_OTH",2052,0
"Atlantis_00A","DIST_OTH",2053,0
"Atlantis_00A","DIST_OTH",2054,0
"Atlantis_00A","DIST_OTH",2055,0
"Atlantis_00A","DIST_RES",2014,0
"Atlantis_00A","DIST_RES",2015,0
"Atlantis_00A","DIST_RES",2016,0
"Atlantis_00A","DIST_RES",2017,0
"Atlantis_00A","DIST_RES",2018,0
"Atlantis_00A","DIST_RES",2019,0
"Atlantis_00A","DIST_RES",2020,0
"Atlantis_00A","DIST_RES",2021,0
"Atlantis_00A","DIST_RES",2022,0
"Atlantis_00A","DIST_RES",2023,0
"Atlantis_00A","DIST_RES",2024,0
