r,t,m,y,TotalAnnualTechnologyActivityByMode
"Atlantis_00A","DIST_RES",1,2044,56.0148821827202
"Atlantis_00A","DIST_RES",1,2045,58.1748656469616
"Atlantis_00A","DIST_RES",1,2046,60.334849111203
"Atlantis_00A","DIST_RES",1,2047,62.4844977263332
"Atlantis_00A","DIST_RES",1,2048,64.6341463414634
"Atlantis_00A","DIST_RES",1,2049,66.7941298057048
"Atlantis_00A","DIST_RES",1,2050,68.9541132699463
"Atlantis_00A","DIST_RES",1,2051,71.1037618850765
"Atlantis_00A","DIST_RES",1,2052,73.2637453493179
"Atlantis_00A","DIST_RES",1,2053,75.4133939644481
"Atlantis_00A","DIST_RES",1,2054,77.5733774286896
"Atlantis_00A","DIST_RES",1,2055,79.7230260438198
"Atlantis_00A","DIST_SER",1,2014,6.50062009094667
"Atlantis_00A","DIST_SER",1,2015,7.02769739561802
"Atlantis_00A","DIST_SER",1,2016,7.44109136006614
"Atlantis_00A","DIST_SER",1,2017,7.74080198429103
"Atlantis_00A","DIST_SER",1,2018,8.10252170318313
"Atlantis_00A","DIST_SER",1,2019,8.3402232327408
"Atlantis_00A","DIST_SER",1,2020,7.6477883422902
"Atlantis_00A","DIST_SER",1,2021,8.89830508474576
"Atlantis_00A","DIST_SER",1,2022,9.13600661430343
"Atlantis_00A","DIST_SER",1,2023,9.3840429929723
"Atlantis_00A","DIST_SER",1,2024,9.64241422075238
"Atlantis_00A","DIST_SER",1,2025,9.90078544853245
"Atlantis_00A","DIST_SER",1,2026,10.2108309218685
"Atlantis_00A","DIST_SER",1,2027,10.5312112443158
"Atlantis_00A","DIST_SER",1,2028,10.8412567176519
"Atlantis_00A","DIST_SER",1,2029,11.1409673418768
"Atlantis_00A","DIST_SER",1,2030,11.4510128152129
"Atlantis_00A","DIST_SER",1,2031,11.761058288549
"Atlantis_00A","DIST_SER",1,2032,12.0814386109963
"Atlantis_00A","DIST_SER",1,2033,12.3914840843324
"Atlantis_00A","DIST_SER",1,2034,12.7015295576685
"Atlantis_00A","DIST_SER",1,2035,13.0115750310046
"Atlantis_00A","DIST_SER",1,2036,13.3216205043406
"Atlantis_00A","DIST_SER",1,2037,13.6316659776767
"Atlantis_00A","DIST_SER",1,2038,13.9417114510128
"Atlantis_00A","DIST_SER",1,2039,14.2517569243489
"Atlantis_00A","DIST_SER",1,2040,14.561802397685
"Atlantis_00A","DIST_SER",1,2041,14.8718478710211
"Atlantis_00A","DIST_SER",1,2042,15.1922281934684
"Atlantis_00A","DIST_SER",1,2043,15.5022736668045
"Atlantis_00A","DIST_SER",1,2044,15.8019842910294
"Atlantis_00A","DIST_SER",1,2045,16.1120297643654
"Atlantis_00A","DIST_SER",1,2046,16.4220752377015
"Atlantis_00A","DIST_SER",1,2047,16.7424555601488
"Atlantis_00A","DIST_SER",1,2048,17.0525010334849
"Atlantis_00A","DIST_SER",1,2049,17.362546506821
"Atlantis_00A","DIST_SER",1,2050,17.6725919801571
"Atlantis_00A","DIST_SER",1,2051,17.9826374534932
"Atlantis_00A","DIST_SER",1,2052,18.2926829268293
"Atlantis_00A","DIST_SER",1,2053,18.6027284001654
"Atlantis_00A","DIST_SER",1,2054,18.9127738735014
"Atlantis_00A","DIST_SER",1,2055,19.2228193468375
"Atlantis_00A","DIST_TRA",1,2014,0.010334849111203
"Atlantis_00A","DIST_TRA",1,2015,0.0310045473336089
"Atlantis_00A","DIST_TRA",1,2016,0.0310045473336089
"Atlantis_00A","DIST_TRA",1,2017,0.0516742455560149
