r,t,y,TotalCapacityAnnual
"Atlantis_00A","DIST_OTH",2025,4.14427449359239
"Atlantis_00A","DIST_OTH",2026,4.43365026870608
"Atlantis_00A","DIST_OTH",2027,4.72302604381976
"Atlantis_00A","DIST_OTH",2028,5.02273666804465
"Atlantis_00A","DIST_OTH",2029,5.31211244315833
"Atlantis_00A","DIST_OTH",2030,5.60148821827201
"Atlantis_00A","DIST_OTH",2031,5.8908639933857
"Atlantis_00A","DIST_OTH",2032,6.18023976849938
"Atlantis_00A","DIST_OTH",2033,6.46961554361306
"Atlantis_00A","DIST_OTH",2034,6.76932616783795
"Atlantis_00A","DIST_OTH",2035,7.05870194295163
"Atlantis_00A","DIST_OTH",2036,7.34807771806532
"Atlantis_00A","DIST_OTH",2037,7.637453493179
"Atlantis_00A","DIST_OTH",2038,7.92682926829268
"Atlantis_00A","DIST_OTH",2039,8.22653989251757
"Atlantis_00A","DIST_OTH",2040,8.51591566763125
"Atlantis_00A","DIST_OTH",2041,8.81562629185614
"Atlantis_00A","DIST_OTH",2042,9.10500206696982
"Atlantis_00A","DIST_OTH",2043,9.39437784208351
"Atlantis_00A","DIST_OTH",2044,9.68375361719719
"Atlantis_00A","DIST_OTH",2045,9.97312939231087
"Atlantis_00A","DIST_OTH",2046,10.2728400165358
"Atlantis_00A","DIST_OTH",2047,10.5622157916494
"Atlantis_00A","DIST_OTH",2048,10.8515915667631
"Atlantis_00A","DIST_OTH",2049,11.1409673418768
"Atlantis_00A","DIST_OTH",2050,11.4303431169905
"Atlantis_00A","DIST_OTH",2051,11.7300537412154
"Atlantis_00A","DIST_OTH",2052,12.0194295163291
"Atlantis_00A","DIST_OTH",2053,12.3088052914427
"Atlantis_00A","DIST_OTH",2054,12.5981810665564
"Atlantis_00A","DIST_OTH",2055,12.8875568416701
"Atlantis_00A","DIST_RES",2014,10.438197602315
"Atlantis_00A","DIST_RES",2015,11.1306324927656
"Atlantis_00A","DIST_RES",2016,11.7507234394378
"Atlantis_00A","DIST_RES",2017,11.9987598181067
"Atlantis_00A","DIST_RES",2018,12.3501446878876
"Atlantis_00A","DIST_RES",2019,12.6601901612236
"Atlantis_00A","DIST_RES",2020,13.5593220338983
"Atlantis_00A","DIST_RES",2021,13.5386523356759
"Atlantis_00A","DIST_RES",2022,14.0450599421248
"Atlantis_00A","DIST_RES",2023,14.3861099627945
"Atlantis_00A","DIST_RES",2024,14.7271599834642
"Atlantis_00A","DIST_RES",2025,15.0785448532451
"Atlantis_00A","DIST_RES",2026,17.2281934683754
"Atlantis_00A","DIST_RES",2027,19.3881769326168
"Atlantis_00A","DIST_RES",2028,21.537825547747
"Atlantis_00A","DIST_RES",2029,23.6978090119884
"Atlantis_00A","DIST_RES",2030,25.8474576271186
"Atlantis_00A","DIST_RES",2031,28.0074410913601
"Atlantis_00A","DIST_RES",2032,30.1570897064903
"Atlantis_00A","DIST_RES",2033,32.3170731707317
"Atlantis_00A","DIST_RES",2034,34.4770566349731
"Atlantis_00A","DIST_RES",2035,36.6267052501033
