r,t,y,NewCapacity
"Atlantis_00A","DIST_IND",2052,12.7842083505581
"Atlantis_00A","DIST_IND",2053,12.9392310872261
"Atlantis_00A","DIST_IND",2054,13.0942538238942
"Atlantis_00A","DIST_IND",2055,13.2596114096734
"Atlantis_00A","DIST_OTH",2014,3.05911533691608
"Atlantis_00A","DIST_OTH",2015,3.25547747002894
"Atlantis_00A","DIST_OTH",2016,3.35882596114097
"Atlantis_00A","DIST_OTH",2017,3.35882596114097
"Atlantis_00A","DIST_OTH",2018,3.20380322447292
"Atlantis_00A","DIST_OTH",2019,3.17279867713931
"Atlantis_00A","DIST_OTH",2020,2.94543199669285
"Atlantis_00A","DIST_OTH",2021,3.93757751136833
"Atlantis_00A","DIST_OTH",2022,3.98925175692435
"Atlantis_00A","DIST_OTH",2023,4.04092600248037
"Atlantis_00A","DIST_OTH",2024,4.09260024803638
"Atlantis_00A","DIST_OTH",2025,4.14427449359239
"Atlantis_00A","DIST_OTH",2026,4.19594873914841
"Atlantis_00A","DIST_OTH",2027,4.25795783381563
"Atlantis_00A","DIST_OTH",2028,4.28896238114924
"Atlantis_00A","DIST_OTH",2029,4.36130632492766
"Atlantis_00A","DIST_OTH",2030,4.43365026870608
"Atlantis_00A","DIST_OTH",2031,4.5059942124845
"Atlantis_00A","DIST_OTH",2032,4.57833815626292
"Atlantis_00A","DIST_OTH",2033,4.64034725093014
"Atlantis_00A","DIST_OTH",2034,4.69202149648615
"Atlantis_00A","DIST_OTH",2035,4.74369574204217
"Atlantis_00A","DIST_OTH",2036,4.79536998759818
"Atlantis_00A","DIST_OTH",2037,4.8573790822654
"Atlantis_00A","DIST_OTH",2038,4.89871847871021
"Atlantis_00A","DIST_OTH",2039,4.91938817693262
"Atlantis_00A","DIST_OTH",2040,4.94005787515502
"Atlantis_00A","DIST_OTH",2041,4.96072757337743
"Atlantis_00A","DIST_OTH",2042,4.97106242248863
"Atlantis_00A","DIST_OTH",2043,4.99173212071104
"Atlantis_00A","DIST_OTH",2044,5.01240181893344
"Atlantis_00A","DIST_OTH",2045,5.03307151715585
"Atlantis_00A","DIST_OTH",2046,5.05374121537826
"Atlantis_00A","DIST_OTH",2047,5.06407606448946
"Atlantis_00A","DIST_OTH",2048,5.08474576271186
"Atlantis_00A","DIST_OTH",2049,5.10541546093427
"Atlantis_00A","DIST_OTH",2050,5.12608515915668
"Atlantis_00A","DIST_OTH",2051,5.13642000826788
"Atlantis_00A","DIST_OTH",2052,5.15708970649028
"Atlantis_00A","DIST_OTH",2053,5.17775940471269
"Atlantis_00A","DIST_OTH",2054,5.1984291029351
"Atlantis_00A","DIST_OTH",2055,5.2190988011575
"Atlantis_00A","DIST_RES",2014,10.438197602315
"Atlantis_00A","DIST_RES",2015,11.1306324927656
"Atlantis_00A","DIST_RES",2016,11.7507234394378
"Atlantis_00A","DIST_RES",2017,11.9987598181067
"Atlantis_00A","DIST_RES",2018,12.3501446878876
"Atlantis_00A","DIST_RES",2019,12.6601901612236
"Atlantis_00A","DIST_RES",2020,13.5593220338983
"Atlantis_00A","DIST_RES",2021,13.5386523356759
