r,rr,l,f,y,Trade
"Atlantis_00A","Atlantis_00A","ID","DS",2021,0
"Atlantis_00A","Atlantis_00A","ID","DS",2022,0
"Atlantis_00A","Atlantis_00A","ID","DS",2023,0
"Atlantis_00A","Atlantis_00A","ID","DS",2024,0
"Atlantis_00A","Atlantis_00A","ID","DS",2025,0
"Atlantis_00A","Atlantis_00A","ID","DS",2026,0
"Atlantis_00A","Atlantis_00A","ID","DS",2027,0
"Atlantis_00A","Atlantis_00A","ID","DS",2028,0
"Atlantis_00A","Atlantis_00A","ID","DS",2029,0
"Atlantis_00A","Atlantis_00A","ID","DS",2030,0
"Atlantis_00A","Atlantis_00A","ID","DS",2031,0
"Atlantis_00A","Atlantis_00A","ID","DS",2032,0
"Atlantis_00A","Atlantis_00A","ID","DS",2033,0
"Atlantis_00A","Atlantis_00A","ID","DS",2034,0
"Atlantis_00A","Atlantis_00A","ID","DS",2035,0
"Atlantis_00A","Atlantis_00A","ID","DS",2036,0
"Atlantis_00A","Atlantis_00A","ID","DS",2037,0
"Atlantis_00A","Atlantis_00A","ID","DS",2038,0
"Atlantis_00A","Atlantis_00A","ID","DS",2039,0
"Atlantis_00A","Atlantis_00A","ID","DS",2040,0
"Atlantis_00A","Atlantis_00A","ID","DS",2041,0
"Atlantis_00A","Atlantis_00A","ID","DS",2042,0
"Atlantis_00A","Atlantis_00A","ID","DS",2043,0
"Atlantis_00A","Atlantis_00A","ID","DS",2044,0
"Atlantis_00A","Atlantis_00A","ID","DS",2045,0
"Atlantis_00A","Atlantis_00A","ID","DS",2046,0
"Atlantis_00A","Atlantis_00A","ID","DS",2047,0
"Atlantis_00A","Atlantis_00A","ID","DS",2048,0
"Atlantis_00A","Atlantis_00A","ID","DS",2049,0
"Atlantis_00A","Atlantis_00A","ID","DS",2050,0
"Atlantis_00A","Atlantis_00A","ID","DS",2051,0
"Atlantis_00A","Atlantis_00A","ID","DS",2052,0
"Atlantis_00A","Atlantis_00A","ID","DS",2053,0
"Atlantis_00A","Atlantis_00A","ID","DS",2054,0
"Atlantis_00A","Atlantis_00A","ID","DS",2055,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2014,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2015,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2016,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2017,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2018,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2019,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2020,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2021,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2022,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2023,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2024,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2025,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2026,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2027,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2028,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2029,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2030,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2031,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2032,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2033,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2034,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2035,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2036,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2037,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2038,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2039,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2040,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2041,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2042,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2043,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2044,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2045,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2046,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2047,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2048,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2049,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2050,0
"Atlantis_00A","Atlantis_00A","ID","DS_Distribution",2051,0
