r,l,t,m,y,RateOfActivity
"Atlantis_00A","ID","DIST_IND",1,2038,14.1897478296817
"Atlantis_00A","ID","DIST_IND",1,2039,14.4274493592394
"Atlantis_00A","ID","DIST_IND",1,2040,11.1099627945432
"Atlantis_00A","ID","DIST_IND",1,2041,11.2443158329888
"Atlantis_00A","ID","DIST_IND",1,2042,11.3890037205457
"Atlantis_00A","ID","DIST_IND",1,2043,11.5233567589913
"Atlantis_00A","ID","DIST_IND",1,2044,11.6680446465482
"Atlantis_00A","ID","DIST_IND",1,2045,11.812732534105
"Atlantis_00A","ID","DIST_IND",1,2046,11.9574204216618
"Atlantis_00A","ID","DIST_IND",1,2047,12.1021083092187
"Atlantis_00A","ID","DIST_IND",1,2048,12.2467961967755
"Atlantis_00A","ID","DIST_IND",1,2049,12.4018189334436
"Atlantis_00A","ID","DIST_IND",1,2050,12.474162877222
"Atlantis_00A","ID","DIST_IND",1,2051,12.62918561389
"Atlantis_00A","ID","DIST_IND",1,2052,12.7842083505581
"Atlantis_00A","ID","DIST_IND",1,2053,12.9392310872261
"Atlantis_00A","ID","DIST_IND",1,2054,13.0942538238942
"Atlantis_00A","ID","DIST_IND",1,2055,13.2596114096734
"Atlantis_00A","ID","DIST_OTH",1,2014,3.05911533691608
"Atlantis_00A","ID","DIST_OTH",1,2015,3.25547747002894
"Atlantis_00A","ID","DIST_OTH",1,2016,3.35882596114097
"Atlantis_00A","ID","DIST_OTH",1,2017,3.35882596114097
"Atlantis_00A","ID","DIST_OTH",1,2018,3.20380322447292
"Atlantis_00A","ID","DIST_OTH",1,2019,3.17279867713931
"Atlantis_00A","ID","DIST_OTH",1,2020,2.94543199669285
"Atlantis_00A","ID","DIST_OTH",1,2021,3.93757751136833
"Atlantis_00A","ID","DIST_OTH",1,2022,3.98925175692435
"Atlantis_00A","ID","DIST_OTH",1,2023,4.04092600248036
"Atlantis_00A","ID","DIST_OTH",1,2024,4.09260024803638
"Atlantis_00A","ID","DIST_OTH",1,2025,4.14427449359239
"Atlantis_00A","ID","DIST_OTH",1,2026,4.19594873914841
"Atlantis_00A","ID","DIST_OTH",1,2027,4.25795783381563
"Atlantis_00A","ID","DIST_OTH",1,2028,4.28896238114924
"Atlantis_00A","ID","DIST_OTH",1,2029,4.36130632492766
"Atlantis_00A","ID","DIST_OTH",1,2030,4.43365026870608
"Atlantis_00A","ID","DIST_OTH",1,2031,4.5059942124845
"Atlantis_00A","ID","DIST_OTH",1,2032,4.57833815626292
"Atlantis_00A","ID","DIST_OTH",1,2033,4.64034725093014
"Atlantis_00A","ID","DIST_OTH",1,2034,4.69202149648615
"Atlantis_00A","ID","DIST_OTH",1,2035,4.74369574204217
"Atlantis_00A","ID","DIST_OTH",1,2036,4.79536998759818
"Atlantis_00A","ID","DIST_OTH",1,2037,4.8573790822654
"Atlantis_00A","ID","DIST_OTH",1,2038,4.89871847871021
"Atlantis_00A","ID","DIST_OTH",1,2039,4.91938817693262
"Atlantis_00A","ID","DIST_OTH",1,2040,4.94005787515502
"Atlantis_00A","ID","DIST_OTH",1,2041,4.96072757337743
"Atlantis_00A","ID","DIST_OTH",1,2042,4.97106242248863
"Atlantis_00A","ID","DIST_OTH",1,2043,4.99173212071104
"Atlantis_00A","ID","DIST_OTH",1,2044,5.01240181893344
"Atlantis_00A","ID","DIST_OTH",1,2045,5.03307151715585
"Atlantis_00A","ID","DIST_OTH",1,2046,5.05374121537826
"Atlantis_00A","ID","DIST_OTH",1,2047,5.06407606448946
"Atlantis_00A","ID","DIST_OTH",1,2048,5.08474576271186
"Atlantis_00A","ID","DIST_OTH",1,2049,5.10541546093427
"Atlantis_00A","ID","DIST_OTH",1,2050,5.12608515915668
"Atlantis_00A","ID","DIST_OTH",1,2051,5.13642000826788
"Atlantis_00A","ID","DIST_OTH",1,2052,5.15708970649028
"Atlantis_00A","ID","DIST_OTH",1,2053,5.17775940471269
"Atlantis_00A","ID","DIST_OTH",1,2054,5.1984291029351
"Atlantis_00A","ID","DIST_OTH",1,2055,5.2190988011575
"Atlantis_00A","ID","DIST_RES",1,2014,10.438197602315
"Atlantis_00A","ID","DIST_RES",1,2015,11.1306324927656
"Atlantis_00A","ID","DIST_RES",1,2016,11.7507234394378
"Atlantis_00A","ID","DIST_RES",1,2017,11.9987598181067
"Atlantis_00A","ID","DIST_RES",1,2018,12.3501446878876
"Atlantis_00A","ID","DIST_RES",1,2019,12.6601901612237
"Atlantis_00A","ID","DIST_RES",1,2020,13.5593220338983
"Atlantis_00A","ID","DIST_RES",1,2021,13.5386523356759
"Atlantis_00A","ID","DIST_RES",1,2022,14.0450599421248
"Atlantis_00A","ID","DIST_RES",1,2023,14.3861099627945
"Atlantis_00A","ID","DIST_RES",1,2024,14.7271599834642
"Atlantis_00A","ID","DIST_RES",1,2025,15.0785448532451
"Atlantis_00A","ID","DIST_RES",1,2026,15.4402645721372
"Atlantis_00A","ID","DIST_RES",1,2027,15.8123191401406
"Atlantis_00A","ID","DIST_RES",1,2028,16.1947085572551
"Atlantis_00A","ID","DIST_RES",1,2029,16.5874328234808
"Atlantis_00A","ID","DIST_RES",1,2030,16.7424555601488
"Atlantis_00A","ID","DIST_RES",1,2031,17.1765192228194
"Atlantis_00A","ID","DIST_RES",1,2032,17.6312525837123
"Atlantis_00A","ID","DIST_RES",1,2033,18.0859859446052
"Atlantis_00A","ID","DIST_RES",1,2034,18.5613890037205
"Atlantis_00A","ID","DIST_RES",1,2035,18.9231087226126
"Atlantis_00A","ID","DIST_RES",1,2036,19.4708557255064
"Atlantis_00A","ID","DIST_RES",1,2037,20.0289375775114
"Atlantis_00A","ID","DIST_RES",1,2038,20.5973542786275
"Atlantis_00A","ID","DIST_RES",1,2039,21.1864406779661
"Atlantis_00A","ID","DIST_RES",1,2040,21.6308391897478
"Atlantis_00A","ID","DIST_RES",1,2041,22.25093013642
"Atlantis_00A","ID","DIST_RES",1,2042,22.8813559322034
"Atlantis_00A","ID","DIST_RES",1,2043,23.5324514262092
"Atlantis_00A","ID","DIST_RES",1,2044,24.2042166184374
"Atlantis_00A","ID","DIST_RES",1,2045,24.896651508888
"Atlantis_00A","ID","DIST_RES",1,2046,25.609756097561
"Atlantis_00A","ID","DIST_RES",1,2047,26.3331955353452
