r,t,y,CapitalInvestment
"Atlantis_00A","DIST_IND",2036,0.00137350144687888
"Atlantis_00A","DIST_IND",2037,0.00139623811492352
"Atlantis_00A","DIST_IND",2038,0.00141897478296817
"Atlantis_00A","DIST_IND",2039,0.00144274493592394
"Atlantis_00A","DIST_IND",2040,0.00111099627945432
"Atlantis_00A","DIST_IND",2041,0.00112443158329888
"Atlantis_00A","DIST_IND",2042,0.00113890037205457
"Atlantis_00A","DIST_IND",2043,0.00115233567589913
"Atlantis_00A","DIST_IND",2044,0.00116680446465482
"Atlantis_00A","DIST_IND",2045,0.0011812732534105
"Atlantis_00A","DIST_IND",2046,0.00119574204216618
"Atlantis_00A","DIST_IND",2047,0.00121021083092187
"Atlantis_00A","DIST_IND",2048,0.00122467961967755
"Atlantis_00A","DIST_IND",2049,0.00124018189334436
"Atlantis_00A","DIST_IND",2050,0.0012474162877222
"Atlantis_00A","DIST_IND",2051,0.001262918561389
"Atlantis_00A","DIST_IND",2052,0.00127842083505581
"Atlantis_00A","DIST_IND",2053,0.00129392310872261
"Atlantis_00A","DIST_IND",2054,0.00130942538238942
"Atlantis_00A","DIST_IND",2055,0.00132596114096734
"Atlantis_00A","DIST_OTH",2014,0.000305911533691608
"Atlantis_00A","DIST_OTH",2015,0.000325547747002894
"Atlantis_00A","DIST_OTH",2016,0.000335882596114097
"Atlantis_00A","DIST_OTH",2017,0.000335882596114097
"Atlantis_00A","DIST_OTH",2018,0.000320380322447292
"Atlantis_00A","DIST_OTH",2019,0.000317279867713931
"Atlantis_00A","DIST_OTH",2020,0.000294543199669285
"Atlantis_00A","DIST_OTH",2021,0.000393757751136833
"Atlantis_00A","DIST_OTH",2022,0.000398925175692435
"Atlantis_00A","DIST_OTH",2023,0.000404092600248037
"Atlantis_00A","DIST_OTH",2024,0.000409260024803638
"Atlantis_00A","DIST_OTH",2025,0.000414427449359239
"Atlantis_00A","DIST_OTH",2026,0.000419594873914841
"Atlantis_00A","DIST_OTH",2027,0.000425795783381563
"Atlantis_00A","DIST_OTH",2028,0.000428896238114924
"Atlantis_00A","DIST_OTH",2029,0.000436130632492766
"Atlantis_00A","DIST_OTH",2030,0.000443365026870608
